["port lower 1","LEFT"]
["port lower 2","RIGHT"]
["port upper 1","TOP"]
["port upper 2","TOP"]
("port upper 1","mode 1",1,"port upper 1",1,"transmission",4.82137e-13)
1.8737028624999997e+14 8.2119162799348577e-01 -2.9444100948962078e+00
1.8799485387083331e+14 8.0944819156133996e-01 -2.9399324841868100e+00
1.8861942149166662e+14 7.9756253993528481e-01 -2.9359221003521774e+00
1.8924398911249997e+14 7.8554944398667004e-01 -2.9323171044075211e+00
1.8986855673333331e+14 7.7351253499620498e-01 -2.9290823874845460e+00
1.9049312435416662e+14 7.6137573975151396e-01 -2.9263030200359430e+00
1.9111769197499997e+14 7.4923832820301028e-01 -2.9239307828184677e+00
1.9174225959583331e+14 7.3707417185384860e-01 -2.9221126721280450e+00
1.9236682721666666e+14 7.2489529895392957e-01 -2.9208064476696132e+00
1.9299139483749997e+14 7.1277615005470474e-01 -2.9200693385602379e+00
1.9359660086208747e+14 7.0115298039916119e-01 -2.9198871902529686e+00
1.9361596245833331e+14 7.0078354005000565e-01 -2.9198870443934610e+00
1.9363532405457916e+14 7.0041411241645979e-01 -2.9198871902529686e+00
1.9424053007916666e+14 6.8885619464809300e-01 -2.9201401954327797e+00
1.9486509769999997e+14 6.7701734680675429e-01 -2.9209488023297374e+00
1.9548966532083331e+14 6.6522256470926422e-01 -2.9223773388140715e+00
1.9611423294166666e+14 6.5355021525821511e-01 -2.9243442634396435e+00
1.9673880056250000e+14 6.4196209282306649e-01 -2.9269728228020133e+00
1.9736336818333331e+14 6.3047098118801004e-01 -2.9302116382717358e+00
1.9798793580416666e+14 6.1918332045046265e-01 -2.9340923698692016e+00
1.9861250342500000e+14 6.0800129629117727e-01 -2.9385467821865161e+00
1.9923707104583331e+14 5.9693756223490591e-01 -2.9435976797907291e+00
1.9986163866666666e+14 5.8601871763076008e-01 -2.9493998830827102e+00
("port upper 2","mode 1",1,"port upper 1",1,"transmission",6.1062482286659491e-13)
(23, 3)
1.8737028624999997e+14 5.6439314182373346e-01 1.8576069425755699e+00
1.8799485387083331e+14 5.8162207729599180e-01 1.8705679630450440e+00
1.8861942149166662e+14 5.9823074372813179e-01 1.8818008074358217e+00
1.8924398911249997e+14 6.1423118990133441e-01 1.8913898906615008e+00
1.8986855673333331e+14 6.2966598459150713e-01 1.8995492517401231e+00
1.9049312435416662e+14 6.4450780251978346e-01 1.9064180448030383e+00
1.9111769197499997e+14 6.5874769336477823e-01 1.9119953015961089e+00
1.9174225959583331e+14 6.7237122708061503e-01 1.9162797605750839e+00
1.9236682721666666e+14 6.8545946775961097e-01 1.9192771737949674e+00
1.9299139483749997e+14 6.9808152641045429e-01 1.9209359054903248e+00
1.9359660086208747e+14 7.0994179428170390e-01 1.9214704247090941e+00
1.9361596245833331e+14 7.1031505289042329e-01 1.9214708963249287e+00
1.9363532405457916e+14 7.1068794643461686e-01 1.9214704247090941e+00
1.9424053007916666e+14 7.2212072923317228e-01 1.9210034286237900e+00
1.9486509769999997e+14 7.3338766144821466e-01 1.9194961687945005e+00
1.9548966532083331e+14 7.4416676903527523e-01 1.9168422802575984e+00
1.9611423294166666e+14 7.5447922967621606e-01 1.9131249950316342e+00
1.9673880056250000e+14 7.6432101101027894e-01 1.9083799236826418e+00
1.9736336818333331e+14 7.7370866703182184e-01 1.9025782123635100e+00
