["port1","LEFT"]
["port2","RIGHT"]
["port3","LEFT"]
["port4","RIGHT"]
("port1","mode 1",1,"port1",1,"transmission",2.18625e-12)
(23, 3)
1.9309940277192984e+14 7.6721091580324210e-04 -1.8558122099682079e+00
1.9344377589619884e+14 7.5479016488785931e-04 -1.8587104050783516e+00
1.9376877020556581e+14 7.6083455262027587e-04 -1.8575784114568854e+00
1.9378814902046784e+14 7.6176174910906754e-04 -1.8575705608201689e+00
1.9380752783536988e+14 7.6275245291677202e-04 -1.8575784114568854e+00
1.9413252214473684e+14 7.8877060854671925e-04 -1.8613997084272600e+00
1.9447689526900584e+14 8.3581521826878375e-04 -1.8769840008165426e+00
1.9482126839327488e+14 9.0178864350012118e-04 -1.9088726655935226e+00
1.9516564151754388e+14 9.8436827406711168e-04 -1.9595392142918886e+00
1.9551001464181288e+14 1.0808839460225619e-03 -2.0292740838771715e+00
1.9585438776608188e+14 1.1898740780281385e-03 -2.1164731804262402e+00
1.9619876089035088e+14 1.3106636659384310e-03 -2.2187239997029722e+00
1.9654313401461991e+14 1.4413924041132046e-03 -2.3329582318829964e+00
1.9688750713888891e+14 1.5793688778594703e-03 -2.4562288059145141e+00
1.9723188026315791e+14 1.7216644629349891e-03 -2.5870398938597270e+00
("port1","mode 1",1,"port3",1,"transmission",1.9365234922005878e-12)
(23, 3)
1.9034441777777778e+14 4.1435275410815077e-02 1.0147962389566665e+00
1.9068879090204678e+14 3.8086883218352595e-02 1.0277655611778360e+00
1.9103316402631578e+14 3.4935144026792098e-02 1.0343968202837168e+00
1.9137753715058481e+14 3.2043080604279198e-02 1.0414612143405366e+00
1.9172191027485381e+14 2.9339603428190912e-02 1.0413588354032137e+00
1.9206628339912281e+14 2.6936521907942913e-02 1.0414003249506187e+00
1.9241065652339181e+14 2.4679590989930354e-02 1.0356333617714475e+00
1.9275502964766081e+14 2.2656953326315489e-02 1.0310895759949210e+00
1.9309940277192984e+14 2.0780934990878009e-02 1.0215446005210842e+00
1.9344377589619884e+14 1.9109132294800955e-02 1.0184771331084559e+00
1.9376877020556581e+14 1.7606357096241559e-02 1.0088530442102674e+00
1.9378814902046784e+14 1.7516037312850907e-02 1.0088148606882128e+00
1.9380752783536988e+14 1.7427149447156939e-02 1.0088530442102674e+00
1.9413252214473684e+14 1.6152014420495599e-02 1.0076640324725166e+00
1.9447689526900584e+14 1.4777514925208705e-02 1.0026243590544950e+00
1.9482126839327488e+14 1.3589059033246155e-02 1.0050397332030609e+00
1.9516564151754388e+14 1.2411786908899073e-02 1.0065455973485391e+00
1.9551001464181288e+14 1.1366877203485245e-02 1.0197254399259221e+00
1.9585438776608188e+14 1.0336021394355618e-02 1.0290950209332226e+00
1.9619876089035088e+14 9.4683755580553461e-03 1.0566290260093210e+00
1.9654313401461991e+14 8.5665776342962775e-03 1.0837793990151814e+00
1.9688750713888891e+14 7.8578564318068835e-03 1.1309746485283843e+00
1.9723188026315791e+14 7.1451231247538277e-03 1.1881699955158356e+00
("port1","mode 1",1,"port4",1,"transmission",1.2872405207434770e-12)
(23, 3)
1.9034441777777778e+14 1.5227859160694232e-03 3.9772319397132916e-01
1.9068879090204678e+14 1.4304941803980386e-03 2.4778770492790209e-01
1.9103316402631578e+14 1.3390786212804063e-03 1.0398841336374035e-01
1.9137753715058481e+14 1.2499726054671788e-03 -3.3278353802091633e-02
1.9172191027485381e+14 1.1638863553895065e-03 -1.6296209248052196e-01
1.9206628339912281e+14 1.0813872128856061e-03 -2.8309876217001545e-01
1.9241065652339181e+14 1.0032838370346102e-03 -3.9090202488224296e-01
1.9275502964766081e+14 9.2986922103092257e-04 -4.8262729216145178e-01
1.9309940277192984e+14 8.6166041893041834e-04 -5.5339290691211207e-01
1.9344377589619884e+14 8.0067839706229567e-04 -5.9833366549542810e-01
1.9376877020556581e+14 7.5383135020968834e-04 -6.1363265903673569e-01
1.9378814902046784e+14 7.5150772600418375e-04 -6.1368072429389509e-01
1.9380752783536988e+14 7.4924620874260996e-04 -6.1363265903673558e-01
1.9413252214473684e+14 7.2209775947040431e-04 -5.9974796015905318e-01
1.9447689526900584e+14 7.2144472880870806e-04 -5.6621473179173420e-01
1.9482126839327488e+14 7.5535572101429079e-04 -5.3175679005737442e-01
1.9516564151754388e+14 8.2439098874792754e-04 -5.1621707075625145e-01
1.9551001464181288e+14 9.2403986890591150e-04 -5.3207179747387512e-01
1.9585438776608188e+14 1.0472313637563588e-03 -5.8156716886640381e-01
1.9619876089035088e+14 1.1873135893243109e-03 -6.6051048195125162e-01
1.9654313401461991e+14 1.3387165653330740e-03 -7.6270978859802729e-01
1.9688750713888891e+14 1.4969038780638156e-03 -8.8236835319824847e-01
1.9723188026315791e+14 1.6581722773459766e-03 -1.0151508229887012e+00
("port2","mode 1",1,"port1",1,"transmission",1.1781542265230820e-12)
