["port 3","RIGHT"]
["port 2","LEFT"]
["port 1","LEFT"]
["port 4","RIGHT"]
("port 1","mode 5",1,"port 1",1,"transmission")
(20, 3)
1.9175413910116141e+14 4.8775693080836018e-04 -6.5058730602108277e+00
1.9210983817875212e+14 4.0741363282390203e-04 -8.2436762365018623e+00
1.9246685933434703e+14 3.4377914626710444e-04 -8.8895942507922978e+00
1.9282520995260666e+14 3.9109616519453000e-04 -9.8776868243741802e+00
1.9318489747329153e+14 3.2585497326926850e-04 -1.0663597144409694e+01
1.9354592939177712e+14 2.2734345383298258e-04 -1.1977982848232845e+01
1.9390831325957447e+14 2.3045425110489615e-04 -1.2449948171541230e+01
1.9427205668485675e+14 2.0131490685959728e-04 -1.2925825211650462e+01
1.9463716733299162e+14 1.9615011428065389e-04 -1.2653108085633008e+01
1.9500365292707978e+14 2.3177175331615430e-04 -1.3622732913169401e+01
1.9537152124849941e+14 4.0781720194594753e-04 -1.3482874361671074e+01
1.9574078013745706e+14 4.1629837378430836e-04 -1.5078323083907753e+01
1.9611143749354450e+14 5.6213696461459824e-04 -1.6478874800975685e+01
1.9648350127630219e+14 5.1550650912967147e-04 -1.6565352015574263e+01
1.9685697950578884e+14 4.0130807327080464e-04 -1.7335602572563648e+01
1.9723188026315791e+14 1.3571807690238225e-04 -1.9233316304390204e+01
("port 1","mode 5",1,"port 3",1,"transmission")
(20, 3)
1.9034441777777778e+14 2.7228705053950618e-05 -3.1266660290521333e+00
1.9069490130565788e+14 1.7674299532213401e-05 -1.4526491163529482e+00
1.9104667791380178e+14 1.3729963746634587e-05 -6.2126110130524681e-01
1.9139975477150541e+14 1.9047274623221129e-05 8.9629221844629292e-01
1.9175413910116141e+14 8.7267787914399140e-06 2.8300315133586436e+00
1.9210983817875212e+14 6.8156811189505820e-06 2.3521893748537805e+00
1.9246685933434703e+14 1.6323784850549026e-05 4.4383211344932167e+00
1.9282520995260666e+14 1.8544412623521730e-05 6.8390442799855160e+00
1.9318489747329153e+14 1.7039954302824504e-05 3.8173093012823323e+00
1.9354592939177712e+14 2.5424786201151791e-05 6.5819598092271310e+00
1.9390831325957447e+14 1.9149017556564210e-05 9.6780390508280973e+00
1.9427205668485675e+14 3.2930634227887891e-05 6.5510236394309924e+00
1.9463716733299162e+14 3.6033445711710045e-05 9.4787431335482140e+00
1.9500365292707978e+14 5.1938974766124727e-05 1.2406889018424097e+01
1.9537152124849941e+14 5.5568318502787411e-05 1.4898426964424795e+01
