

wavelength(nm), Y
1530.16, -33.863
1530.1, -33.8471
1530.04, -33.8313
1529.98, -33.8156
1529.92, -33.7998
1529.87, -33.7841
1529.81, -33.7684
1529.75, -33.7528
1529.69, -33.7371
1529.63, -33.7215
1529.57, -33.706
1529.51, -33.6904
1529.46, -33.6749
1529.4, -33.6594
1529.34, -33.644
1529.28, -33.6285
1529.22, -33.6131
1529.16, -33.5978
1529.11, -33.5824
1529.05, -33.5671
1528.99, -33.5518
1528.93, -33.5365
1528.87, -33.5213
1528.81, -33.506
1528.76, -33.4909
1528.7, -33.4757
1528.64, -33.46
1528.58, -33.4436
1528.52, -33.4271
1528.46, -33.4107
1528.41, -33.3944
1528.35, -33.3781
1528.29, -33.3618
1528.23, -33.3455
1528.17, -33.3293
1528.11, -33.313
1528.06, -33.2969
1528, -33.2807
1527.94, -33.2646
1527.88, -33.2485
1527.82, -33.2325
1527.76, -33.2164
1527.71, -33.2004
1527.65, -33.1845
1527.59, -33.1685
1527.53, -33.1526
1527.47, -33.1368
1527.41, -33.1209
1527.36, -33.1051
1527.3, -33.0893
1527.24, -33.0735
1527.18, -33.0578
1527.12, -33.0421
1527.06, -33.0264
1527.01, -33.0107
1526.95, -32.9951
1526.89, -32.9795
1526.83, -32.964
1526.77, -32.9484
1526.72, -32.9329
1526.66, -32.9174
1526.6, -32.902
1526.54, -32.8865
1526.48, -32.8711
1526.42, -32.8558
1526.37, -32.8404
1526.31, -32.8251
1526.25, -32.8098
1526.19, -32.7945
1526.13, -32.7793
1526.08, -32.7641
1526.02, -32.7489
1525.96, -32.7337
1525.9, -32.7186
1525.84, -32.7035
1525.78, -32.6884
1525.73, -32.6734
1525.67, -32.6583
1525.61, -32.6433
1525.55, -32.6284
1525.49, -32.6134
1525.44, -32.5985
1525.38, -32.5836
1525.32, -32.5687
1525.26, -32.5539
1525.2, -32.539
1525.15, -32.5242
1525.09, -32.5095
1525.03, -32.4947
1524.97, -32.48
1524.91, -32.4653
1524.85, -32.4506
1524.8, -32.436
1524.74, -32.4214
1524.68, -32.4068
1524.62, -32.3922
1524.56, -32.3776
1524.51, -32.3631
1524.45, -32.3486
1524.39, -32.3341
1524.33, -32.3197
1524.27, -32.3052
1524.22, -32.2908
1524.16, -32.2765
1524.1, -32.2621
1524.04, -32.2478
1523.98, -32.2335
1523.93, -32.2192
1523.87, -32.2049
1523.81, -32.1907
1523.75, -32.1766
1523.69, -32.1625
1523.64, -32.1485
1523.58, -32.1345
1523.52, -32.1205
1523.46, -32.1065
1523.4, -32.0926
1523.35, -32.0786
1523.29, -32.0647
1523.23, -32.0508
1523.17, -32.037
1523.11, -32.0231
1523.06, -32.0093
1523, -31.9955
1522.94, -31.9818
1522.88, -31.968
1522.82, -31.9543
1522.77, -31.9406
1522.71, -31.9269
1522.65, -31.9132
1522.59, -31.8996
1522.54, -31.886
1522.48, -31.8724
1522.42, -31.8588
1522.36, -31.8452
1522.3, -31.8317
1522.25, -31.8182
1522.19, -31.8047
1522.13, -31.7912
1522.07, -31.7777
1522.01, -31.7643
1521.96, -31.7509
1521.9, -31.7375
1521.84, -31.7241
1521.78, -31.7108
1521.73, -31.6975
1521.67, -31.6842
1521.61, -31.6709
1521.55, -31.6576
1521.49, -31.6444
1521.44, -31.6311
1521.38, -31.6179
1521.32, -31.6047
1521.26, -31.5916
1521.21, -31.5784
1521.15, -31.5653
1521.09, -31.5522
1521.03, -31.5391
1520.97, -31.526
1520.92, -31.513
1520.86, -31.5
1520.8, -31.4869
1520.74, -31.474
1520.69, -31.461
1520.63, -31.448
1580.59, -3.49817
1580.53, -3.49707
1580.47, -3.49597
1580.4, -3.49487
1580.34, -3.49377
1580.28, -3.49267
1580.22, -3.49157
1580.16, -3.49047
1580.09, -3.48938
1580.03, -3.48828
1579.97, -3.48718
1579.91, -3.48608
1579.84, -3.48498
1579.78, -3.48388
1579.72, -3.48279
1579.66, -3.48169
1579.59, -3.48059
1579.53, -3.47949
1579.47, -3.4784
1579.41, -3.4773
1579.35, -3.4762
1579.28, -3.4751
1579.22, -3.47401
1579.16, -3.47291
1579.1, -3.47181
1579.03, -3.47072
1578.97, -3.46962
1578.91, -3.46879
1578.85, -3.46813
1578.78, -3.46747
1578.72, -3.46682
1578.66, -3.46616
1578.6, -3.4655
1578.54, -3.46484
1578.47, -3.46418
1578.41, -3.46352
1578.35, -3.46286
1578.29, -3.4622
1578.22, -3.46154
1578.16, -3.46089
1578.1, -3.46023
1578.04, -3.45957
1577.98, -3.45891
1577.91, -3.45825
1577.85, -3.45759
1577.79, -3.45694
1577.73, -3.45628
1577.67, -3.45562
1577.6, -3.45496
1577.54, -3.4543
1577.48, -3.45365
1577.42, -3.45299
