wavelength(nm), Y
1532.01, -2.52861
1531.91, -2.52621
1531.82, -2.52382
1531.72, -2.52143
1531.62, -2.51904
1531.52, -2.51665
1531.43, -2.51426
1531.33, -2.51187
1531.23, -2.50948
1531.13, -2.50709
1531.03, -2.5047
1530.94, -2.50231
1530.84, -2.49993
1530.74, -2.49754
1530.64, -2.49516
1530.55, -2.49277
1530.45, -2.49039
1530.35, -2.48801
1530.25, -2.48563
1530.16, -2.48324
1530.06, -2.48086
1529.96, -2.47848
1529.87, -2.4761
1529.77, -2.47372
1529.67, -2.47135
1529.57, -2.46897
1529.48, -2.46659
1529.38, -2.46421
1529.28, -2.46184
1529.18, -2.45946
1529.09, -2.45709
1528.99, -2.45472
1528.89, -2.45234
1528.79, -2.44997
1528.7, -2.4476
1528.6, -2.4453
1528.5, -2.44304
1528.41, -2.44077
1528.31, -2.43851
1528.21, -2.43625
1528.11, -2.43399
1528.02, -2.43173
1527.92, -2.42948
1527.82, -2.42722
1527.72, -2.42496
1527.63, -2.4227
1527.53, -2.42045
1527.43, -2.41819
1527.34, -2.41594
1527.24, -2.41368
1527.14, -2.41143
1527.05, -2.40918
1526.95, -2.40692
1526.85, -2.40467
1526.75, -2.40242
1526.66, -2.40017
1526.56, -2.39792
1526.46, -2.39567
1526.37, -2.39342
1526.27, -2.39117
1526.17, -2.38892
1526.08, -2.38668
1525.98, -2.38443
1525.88, -2.38218
1525.78, -2.37994
1525.69, -2.37769
1525.59, -2.37545
1525.49, -2.3732
1525.4, -2.37096
1525.3, -2.36872
1525.2, -2.36648
1525.11, -2.36423
1525.01, -2.36199
1524.91, -2.35975
1524.82, -2.35751
1524.72, -2.35527
1524.62, -2.35304
1524.53, -2.3508
1524.43, -2.34856
1524.33, -2.34632
1524.24, -2.34409
1524.14, -2.34185
1524.04, -2.33962
1523.95, -2.33738
1523.85, -2.33515
1523.75, -2.33298
1523.66, -2.33084
1523.56, -2.32872
1523.46, -2.32659
1523.37, -2.32446
1523.27, -2.32233
1523.17, -2.3202
1523.08, -2.31808
1522.98, -2.31595
1522.88, -2.31382
1522.79, -2.3117
1522.69, -2.30957
1522.59, -2.30745
1522.5, -2.30532
1522.4, -2.3032
1522.3, -2.30108
1522.21, -2.29896
1522.11, -2.29683
1522.01, -2.29471
1521.92, -2.29259
1521.82, -2.29047
1521.73, -2.28835
1521.63, -2.28623
1521.53, -2.28411
1521.44, -2.282
1521.34, -2.27988
1521.24, -2.27776
1521.15, -2.27564
1521.05, -2.27353
1520.95, -2.27141
1520.86, -2.2693
1520.76, -2.26718
1520.67, -2.26507
1520.57, -2.26296
1520.47, -2.26084
1520.38, -2.25873
1520.28, -2.25662
1520.18, -2.25451
1520.09, -2.2524
1519.99, -2.25028
1519.9, -2.24817
1519.8, -2.24607
1519.7, -2.24396
1519.61, -2.24185
1519.51, -2.23974
1519.42, -2.23763
1519.32, -2.23553
1519.22, -2.23342
1519.13, -2.23131
1519.03, -2.22921
1518.94, -2.22715
1518.84, -2.22512
1518.74, -2.2231
1518.65, -2.22108
1518.55, -2.21906
1518.46, -2.21703
1518.36, -2.21501
1518.26, -2.21299
1518.17, -2.21097
1518.07, -2.20895
1517.98, -2.20693
1517.88, -2.20491
1517.78, -2.20289
1517.69, -2.20088
1517.59, -2.19886
1517.5, -2.19684
1517.4, -2.19483
1517.3, -2.19281
1517.21, -2.19079
1517.11, -2.18878
1517.02, -2.18676
1516.92, -2.18475
1516.83, -2.18274
1516.73, -2.18072
1516.63, -2.17871
1516.54, -2.1767
1516.44, -2.17469
1516.35, -2.17267
1516.25, -2.17066
1516.16, -2.16865
1516.06, -2.16664
