wavelength(nm), Y
1548, -3.01216
1547.9, -3.00541
1547.8, -2.99866
1547.7, -2.99192
1547.6, -2.98518
1547.5, -2.97845
1547.4, -2.97172
1547.3, -2.965
1547.21, -2.95829
1547.11, -2.95158
1547.01, -2.94487
1546.91, -2.93817
1546.81, -2.93148
1546.71, -2.92479
1546.61, -2.9181
1546.51, -2.91142
1546.41, -2.90475
1546.31, -2.89808
1546.21, -2.89141
1546.11, -2.88475
1546.01, -2.8781
1545.91, -2.87145
1545.81, -2.86481
1545.71, -2.85817
1545.61, -2.85154
1545.51, -2.84491
1545.41, -2.83828
1545.31, -2.83166
1545.21, -2.82505
1545.12, -2.81844
1545.02, -2.81184
1544.92, -2.80524
1544.82, -2.79865
1544.72, -2.79206
1544.62, -2.78548
1544.52, -2.7789
1544.42, -2.77232
1544.32, -2.76575
1544.22, -2.75919
1544.12, -2.75263
1544.02, -2.74608
1543.92, -2.73953
1543.82, -2.73299
1543.73, -2.72645
1543.63, -2.71991
1543.53, -2.71338
1543.43, -2.70686
1543.33, -2.70043
1543.23, -2.69403
1543.13, -2.68763
1543.03, -2.68124
1542.93, -2.67485
1542.83, -2.66847
1542.73, -2.66209
1542.64, -2.65572
1542.54, -2.64935
1542.44, -2.64299
1542.34, -2.63663
1542.24, -2.63027
1542.14, -2.62392
1542.04, -2.61758
1541.94, -2.61124
1541.84, -2.6049
1541.74, -2.59857
1541.65, -2.59224
1541.55, -2.58592
1541.45, -2.5796
1541.35, -2.57329
1541.25, -2.56698
1541.15, -2.56068
1541.05, -2.55438
1540.95, -2.54808
1540.85, -2.54179
1540.76, -2.53551
1540.66, -2.52923
1540.56, -2.52295
1540.46, -2.51668
1540.36, -2.51041
1540.26, -2.50415
1540.16, -2.49789
1540.06, -2.49163
1539.97, -2.48538
1539.87, -2.47914
1539.77, -2.4729
1539.67, -2.46666
1539.57, -2.46043
1539.47, -2.4542
1539.37, -2.44798
1539.27, -2.44176
1539.18, -2.43555
1539.08, -2.42934
1538.98, -2.42314
1538.88, -2.41693
1538.78, -2.41074
1538.68, -2.40455
1538.58, -2.39836
1538.49, -2.39218
1538.39, -2.38612
1538.29, -2.3801
1538.19, -2.37408
1538.09, -2.36807
1537.99, -2.36207
1537.9, -2.35607
1537.8, -2.35007
1537.7, -2.34408
1537.6, -2.33809
1537.5, -2.3321
1537.4, -2.32612
1537.3, -2.32015
1537.21, -2.31418
1537.11, -2.30821
1537.01, -2.30224
1536.91, -2.29628
