["input","LEFT"]
["out2","RIGHT"]
["output1","RIGHT"]
("input","mode 1",1,"input",1,"transmission",8.56934e-14)
(52, 3)
1.9093924408333334e+14 6.6395023563592959e-01 1.9607888407720022e+00
1.9119416964285712e+14 6.6380627404785841e-01 1.9612654458579741e+00
1.9144909520238094e+14 6.6363941990026210e-01 1.9617008369864197e+00
1.9170402076190475e+14 6.6344844595317198e-01 1.9620861412022377e+00
1.9195894632142856e+14 6.6323394156933557e-01 1.9624160081247641e+00
1.9221387188095238e+14 6.6299703137639587e-01 1.9626886525261997e+00
1.9246879744047619e+14 6.6273880283227149e-01 1.9629047520740601e+00
1.9272372300000000e+14 6.6246050567562520e-01 1.9630665047097959e+00
1.9297864855952381e+14 6.6216392130973001e-01 1.9631775917404437e+00
1.9323357411904762e+14 6.6185121273136993e-01 1.9632437139620416e+00
1.9348849967857144e+14 6.6152408749153413e-01 1.9632726421225839e+00
1.9359660086208747e+14 6.6138114706435303e-01 1.9632757947547890e+00
1.9363532405457916e+14 6.6132931716583632e-01 1.9632757947547890e+00
1.9374342523809522e+14 6.6118281368666676e-01 1.9632729354151508e+00
1.9399835079761903e+14 6.6082595275745615e-01 1.9632515102683419e+00
1.9425327635714284e+14 6.6045131065684193e-01 1.9632113315839612e+00
1.9450820191666666e+14 6.6005775848368409e-01 1.9631507862211455e+00
1.9476312747619047e+14 6.5964682220976056e-01 1.9630654350817598e+00
1.9501805303571428e+14 6.5922287370755439e-01 1.9629512904863924e+00
1.9527297859523809e+14 6.5879153311351268e-01 1.9628075584122426e+00
1.9552790415476191e+14 6.5835708990787667e-01 1.9626368452194694e+00
1.9578282971428572e+14 6.5792058530343511e-01 1.9624423151632746e+00
1.9603775527380953e+14 6.5748003210040806e-01 1.9622233906832300e+00
1.9629268083333331e+14 6.5703303167608496e-01 1.9619729658168663e+00
1.9654760639285712e+14 6.5658042923258186e-01 1.9616786964297659e+00
1.9680253195238094e+14 6.5612864072100474e-01 1.9613287051853587e+00
1.9705745751190475e+14 6.5568865639159646e-01 1.9609191512915356e+00
1.9731238307142856e+14 6.5527146288232196e-01 1.9604593298495803e+00
1.9756730863095238e+14 6.5488183423161439e-01 1.9599705965834890e+00
1.9782223419047619e+14 6.5451381601096326e-01 1.9594784296649284e+00
1.9807715975000000e+14 6.5415081911053785e-01 1.9590008392166862e+00
1.9833208530952381e+14 6.5377106196476154e-01 1.9585389088995000e+00
1.9858701086904762e+14 6.5335620055679333e-01 1.9580748234104051e+00
1.9884193642857141e+14 6.5289895917536478e-01 1.9575791852892110e+00
1.9909686198809522e+14 6.5240570636054085e-01 1.9570244556852729e+00
1.9935178754761903e+14 6.5189237225924423e-01 1.9563976994286707e+00
1.9960671310714284e+14 6.5137567012358533e-01 1.9557057129830888e+00
1.9986163866666666e+14 6.5086429517455613e-01 1.9549694131409003e+00
("input","mode 1",1,"out2",1,"transmission",2.4046757112960692e-13)
(52, 3)
1.8737028625000000e+14 6.6555749454851376e-01 1.9567293039924605e+00
1.8762521180952381e+14 6.6550156243511016e-01 1.9575527710916627e+00
1.8788013736904762e+14 6.6542500685989592e-01 1.9583318598434147e+00
1.8813506292857144e+14 6.6533892584089749e-01 1.9590746405536383e+00
1.8838998848809525e+14 6.6524848981778706e-01 1.9597945122659035e+00
1.8864491404761903e+14 6.6515279984344100e-01 1.9605017595395815e+00
1.8889983960714284e+14 6.6504829298293744e-01 1.9611983423598067e+00
1.8915476516666666e+14 6.6493304715663182e-01 1.9618782731796698e+00
1.8940969072619047e+14 6.6480923633183786e-01 1.9625324764000593e+00
1.8966461628571428e+14 6.6468244409192412e-01 1.9631546497328214e+00
1.8991954184523809e+14 6.6455854752709187e-01 1.9637445524673647e+00
1.9017446740476191e+14 6.6444022558922133e-01 1.9643071022914249e+00
1.9042939296428572e+14 6.6432513957659522e-01 1.9648482921854962e+00
1.9068431852380953e+14 6.6420665394957679e-01 1.9653706436976170e+00
