wavelength(nm), Y
1548.6, -4.55045
1548.5, -4.54822
1548.4, -4.54599
1548.3, -4.54377
1548.2, -4.54155
1548.1, -4.53933
1548, -4.53712
1547.9, -4.5349
1547.8, -4.53269
1547.7, -4.53048
1547.6, -4.52826
1547.5, -4.52605
1547.4, -4.52384
1547.3, -4.52165
1547.21, -4.51946
1547.11, -4.51728
1547.01, -4.51509
1546.91, -4.51291
1546.81, -4.51073
1546.71, -4.50854
1546.61, -4.50636
1546.51, -4.50418
1546.41, -4.502
1546.31, -4.49982
1546.21, -4.49764
1546.11, -4.49546
1546.01, -4.49328
1545.91, -4.4911
1545.81, -4.48893
1545.71, -4.48675
1545.61, -4.48457
1545.51, -4.4824
1545.41, -4.48022
1545.31, -4.47805
1545.21, -4.47592
1545.12, -4.47378
1545.02, -4.47165
1544.92, -4.46951
1544.82, -4.46738
1544.72, -4.46525
1544.62, -4.46311
1544.52, -4.46098
1544.42, -4.45885
1544.32, -4.45672
1544.22, -4.45459
1544.12, -4.45246
1544.02, -4.45033
1543.92, -4.4482
1543.82, -4.44607
1543.73, -4.44394
1543.63, -4.44181
1543.53, -4.43969
1543.43, -4.43756
1543.33, -4.43543
1543.23, -4.43334
1543.13, -4.43126
1543.03, -4.42918
1542.93, -4.4271
1542.83, -4.42502
1542.73, -4.42294
1542.64, -4.42086
1542.54, -4.41878
1542.44, -4.4167
1542.34, -4.41462
1542.24, -4.41254
1542.14, -4.41047
1542.04, -4.40839
1541.94, -4.40631
1541.84, -4.40424
1541.74, -4.40216
1541.65, -4.40009
1541.55, -4.39801
1541.45, -4.39594
1541.35, -4.39387
1541.25, -4.39181
1541.15, -4.38978
1541.05, -4.38776
1540.95, -4.38573
1540.85, -4.38371
1540.76, -4.38169
1540.66, -4.37966
1540.56, -4.37764
1540.46, -4.37562
1540.36, -4.3736
1540.26, -4.37158
1540.16, -4.36956
1540.06, -4.36754
1539.97, -4.36552
1539.87, -4.3635
1539.77, -4.36148
1539.67, -4.35946
1539.57, -4.35744
1539.47, -4.35542
1539.37, -4.35341
1539.27, -4.35139
1539.18, -4.34942
1539.08, -4.34746
1538.98, -4.34549
1538.88, -4.34353
1538.78, -4.34157
1538.68, -4.3396
1538.58, -4.33764
1538.49, -4.33568
1538.39, -4.33372
1538.29, -4.33175
1538.19, -4.32979
1538.09, -4.32783
1537.99, -4.32587
1537.9, -4.32391
1537.8, -4.32196
1537.7, -4.32
1537.6, -4.31804
1537.5, -4.31608
1537.4, -4.31412
1537.3, -4.31217
1537.21, -4.31024
1537.11, -4.30834
1537.01, -4.30643
1536.91, -4.30453
1536.81, -4.30263
1536.71, -4.30073
1536.62, -4.29883
1536.52, -4.29694
1536.42, -4.29504
1536.32, -4.29314
1536.22, -4.29124
1536.13, -4.28934
1536.03, -4.28745
1535.93, -4.28555
1535.83, -4.28365
1535.73, -4.28176
1535.63, -4.27986
1535.54, -4.27797
1535.44, -4.27607
1535.34, -4.27418
1535.24, -4.27229
1535.14, -4.27045
1535.05, -4.26862
1534.95, -4.26678
1534.85, -4.26495
1534.75, -4.26312
1534.65, -4.26128
1534.56, -4.25945
1534.46, -4.25762
1534.36, -4.25579
1534.26, -4.25395
1534.16, -4.25212
1534.07, -4.25029
1533.97, -4.24846
1533.87, -4.24663
1533.77, -4.2448
1533.67, -4.24297
1533.58, -4.24114
1533.48, -4.23931
1533.38, -4.23748
1533.28, -4.23566
1533.18, -4.23387
1533.09, -4.2321
1532.99, -4.23033
1532.89, -4.22857
1532.79, -4.2268
1532.7, -4.22504
1532.6, -4.22327
1532.5, -4.22151
1532.4, -4.21975
1532.3, -4.21798
1532.21, -4.21622
1532.11, -4.21446
1532.01, -4.21269
1531.91, -4.21093
1531.82, -4.20917
1531.72, -4.20741
1531.62, -4.20565
1531.52, -4.20389
1531.43, -4.20213
1531.33, -4.20037
1531.23, -4.19862
1531.13, -4.19693
1531.03, -4.19523
1530.94, -4.19354
1530.84, -4.19184
1530.74, -4.19015
1530.64, -4.18845
1530.55, -4.18676
1530.45, -4.18507
1530.35, -4.18338
1530.25, -4.18168
1530.16, -4.17999
1530.06, -4.1783
1529.96, -4.17661
1529.87, -4.17492
1529.77, -4.17323
1529.67, -4.17154
1529.57, -4.16985
1529.48, -4.16816
1529.38, -4.16647
1529.28, -4.16478
1529.18, -4.16314
1529.09, -4.16152
1528.99, -4.1599
1528.89, -4.15828
1528.79, -4.15666
1528.7, -4.15503
1528.6, -4.15341
1528.5, -4.15179
1528.41, -4.15017
1528.31, -4.14856
1528.21, -4.14694
1528.11, -4.14532
1528.02, -4.1437
1527.92, -4.14208
1527.82, -4.14046
1527.72, -4.13884
1527.63, -4.13723
1527.53, -4.13561
1527.43, -4.13399
1527.34, -4.13238
1527.24, -4.13078
1527.14, -4.12924
1527.05, -4.12769
1526.95, -4.12614
1526.85, -4.1246
1526.75, -4.12305
1526.66, -4.12151
1526.56, -4.11996
1526.46, -4.11841
1526.37, -4.11687
1526.27, -4.11532
1526.17, -4.11378
1526.08, -4.11224
1525.98, -4.11069
1525.88, -4.10915
1525.78, -4.10761
1525.69, -4.10606
1525.59, -4.10452
1525.49, -4.10298
1525.4, -4.10143
1525.3, -4.09989
1525.2, -4.09842
1525.11, -4.09694
1525.01, -4.09547
1524.91, -4.094
1524.82, -4.09253
1524.72, -4.09106
1524.62, -4.08959
1524.53, -4.08812
1524.43, -4.08665
1524.33, -4.08519
1524.24, -4.08372
1524.14, -4.08225
1524.04, -4.08078
1523.95, -4.07931
1523.85, -4.07784
1523.75, -4.07638
1523.66, -4.07491
1523.56, -4.07344
1523.46, -4.07198
1523.37, -4.07051
1523.27, -4.06908
1523.17, -4.06768
1523.08, -4.06629
1522.98, -4.0649
1522.88, -4.0635
1522.79, -4.06211
1522.69, -4.06072
1522.59, -4.05932
1522.5, -4.05793
1522.4, -4.05654
1522.3, -4.05514
1522.21, -4.05375
1522.11, -4.05236
1522.01, -4.05097
1521.92, -4.04958
1521.82, -4.04819
1521.73, -4.0468
1521.63, -4.0454
1521.53, -4.04401
1521.44, -4.04262
1521.34, -4.04124
1521.24, -4.03992
1521.15, -4.0386
1521.05, -4.03729
1520.95, -4.03597
1520.86, -4.03465
1520.76, -4.03334
1520.67, -4.03202
1520.57, -4.0307
1520.47, -4.02939
1520.38, -4.02807
1520.28, -4.02675
1520.18, -4.02544
1520.09, -4.02412
1519.99, -4.02281
1519.9, -4.02149
1519.8, -4.02018
1519.7, -4.01887
1519.61, -4.01755
1519.51, -4.01624
1519.42, -4.01492
1519.32, -4.01366
1519.22, -4.01241
1519.13, -4.01117
1519.03, -4.00993
1518.94, -4.00869
1518.84, -4.00745
1518.74, -4.00621
1518.65, -4.00497
1518.55, -4.00373
1518.46, -4.00249
1518.36, -4.00125
1518.26, -4.00001
1518.17, -3.99877
1518.07, -3.99753
1517.98, -3.99629
1517.88, -3.99506
1517.78, -3.99382
1517.69, -3.99258
1517.59, -3.99134
1517.5, -3.9901
1517.4, -3.98888
1517.3, -3.98771
1517.21, -3.98655
1517.11, -3.98538
1517.02, -3.98421
1516.92, -3.98305
1516.83, -3.98188
1516.73, -3.98072
1516.63, -3.97955
1516.54, -3.97839
1516.44, -3.97722
1516.35, -3.97606
1516.25, -3.97489
