["input","LEFT"]
["out2","RIGHT"]
["output1","RIGHT"]
("input","mode 1",1,"input",1,"transmission",3.03436e-14)
(52, 3)
1.8838998848809525e+14 5.2458983217838595e-01 1.5748853578076483e+00
1.8864491404761903e+14 5.2804543872833043e-01 1.5532126357448357e+00
1.8889983960714284e+14 5.3147576965314181e-01 1.5326802453683090e+00
1.8915476516666666e+14 5.3489018061114757e-01 1.5132993776210915e+00
1.8940969072619047e+14 5.3829340811805704e-01 1.4950782666216758e+00
1.8966461628571428e+14 5.4168736404895812e-01 1.4780189283767895e+00
1.8991954184523809e+14 5.4507327865718358e-01 1.4621173379083989e+00
1.9017446740476191e+14 5.4845292746421337e-01 1.4473661418346442e+00
1.9042939296428572e+14 5.5182835973648370e-01 1.4337577684501202e+00
1.9068431852380953e+14 5.5520049757633672e-01 1.4212858448732346e+00
1.9093924408333334e+14 5.5856765651447582e-01 1.4099440576342359e+00
1.9119416964285712e+14 5.6192507694258709e-01 1.3997232541400273e+00
1.9144909520238094e+14 5.6526594506762884e-01 1.3906087196591999e+00
1.9170402076190475e+14 5.6858348118546465e-01 1.3825795400845984e+00
1.9195894632142856e+14 5.7187300275303865e-01 1.3756108017969515e+00
1.9221387188095238e+14 5.7513282269321064e-01 1.3696777547236008e+00
1.9246879744047619e+14 5.7836346081651280e-01 1.3647599067299507e+00
1.9272372300000000e+14 5.8156558678261161e-01 1.3608429990461288e+00
1.9297864855952381e+14 5.8473784109650317e-01 1.3579179600183815e+00
1.9323357411904762e+14 5.8787577199528718e-01 1.3559776097423704e+00
1.9348849967857144e+14 5.9097251234353498e-01 1.3550131464522974e+00
1.9359660086208747e+14 5.9227143856991249e-01 1.3548959880105411e+00
1.9363532405457916e+14 5.9273451236805996e-01 1.3548959880105411e+00
1.9374342523809522e+14 5.9402083339980705e-01 1.3550125658907863e+00
1.9399835079761903e+14 5.9701540524427710e-01 1.3559620569470887e+00
1.9425327635714284e+14 5.9995393763585902e-01 1.3578496849517705e+00
1.9450820191666666e+14 6.0283648585940586e-01 1.3606692957455637e+00
1.9476312747619047e+14 6.0566325952481948e-01 1.3644223541540594e+00
1.9501805303571428e+14 6.0843217177254905e-01 1.3691165330357777e+00
1.9527297859523809e+14 6.1113757985024719e-01 1.3747617000364385e+00
1.9552790415476191e+14 6.1377103889106011e-01 1.3813654760994447e+00
1.9578282971428572e+14 6.1632374180709959e-01 1.3889308656987405e+00
1.9603775527380953e+14 6.1878929022887474e-01 1.3974573353726372e+00
1.9629268083333331e+14 6.2116514687450164e-01 1.4069447164898490e+00
1.9654760639285712e+14 6.2345178839083570e-01 1.4173975442616682e+00
1.9680253195238094e+14 6.2564989203064736e-01 1.4288269684581676e+00
1.9705745751190475e+14 6.2775712778023207e-01 1.4412485584807617e+00
1.9731238307142856e+14 6.2976655615743871e-01 1.4546766194618577e+00
1.9756730863095238e+14 6.3166792623655088e-01 1.4691178075585076e+00
1.9782223419047619e+14 6.3345162221633611e-01 1.4845676273239914e+00
1.9807715975000000e+14 6.3511341551360068e-01 1.5010122253614679e+00
1.9833208530952381e+14 6.3665744554356396e-01 1.5184352212857786e+00
1.9858701086904762e+14 6.3809549029624313e-01 1.5368264852605467e+00
1.9884193642857141e+14 6.3944238626523819e-01 1.5561883436091537e+00
1.9909686198809522e+14 6.4070952877123022e-01 1.5765355882945626e+00
1.9935178754761903e+14 6.4189961884214441e-01 1.5978885963101073e+00
1.9960671310714284e+14 6.4300549276108998e-01 1.6202624305044182e+00
1.9986163866666666e+14 6.4401402661822438e-01 1.6436571710581931e+00
("output1","mode 1",1,"input",1,"transmission",1.9920014288659740e-13)
