wavelength(nm), Y
1554.61, -3.56619
1554.51, -3.5664
1554.41, -3.56661
1554.31, -3.56681
1554.21, -3.56702
1554.11, -3.56723
1554.01, -3.56744
1553.91, -3.56764
1553.81, -3.56785
1553.71, -3.56806
1553.61, -3.56826
1553.51, -3.56847
1553.41, -3.56869
1553.31, -3.56892
1553.21, -3.56914
1553.11, -3.56936
1553.01, -3.56958
1552.91, -3.56981
1552.81, -3.57003
1552.7, -3.57025
1552.6, -3.57048
1552.5, -3.5707
1552.4, -3.57092
1552.3, -3.57114
1552.2, -3.57137
1552.1, -3.57159
1552, -3.57181
1551.9, -3.57204
1551.8, -3.57226
1551.7, -3.57248
1551.6, -3.5727
1551.5, -3.57293
1551.4, -3.57316
1551.3, -3.57339
1551.2, -3.57363
1551.1, -3.57386
1551, -3.5741
1550.9, -3.57433
1550.8, -3.57457
1550.7, -3.5748
1550.6, -3.57504
1550.5, -3.57527
1550.4, -3.57551
1550.3, -3.57575
1550.2, -3.57598
1550.1, -3.57622
1550, -3.57645
1549.9, -3.57669
1549.8, -3.57692
1549.7, -3.57716
1549.6, -3.57739
1549.5, -3.57763
1549.4, -3.57787
1549.3, -3.57811
1549.2, -3.57835
1549.1, -3.57859
1549, -3.57884
1548.9, -3.57908
1548.8, -3.57932
1548.7, -3.57957
1548.6, -3.57981
1548.5, -3.58005
1548.4, -3.5803
1548.3, -3.58055
1548.2, -3.58079
1548.1, -3.58104
1548, -3.58129
1547.9, -3.58154
1547.8, -3.58178
1547.7, -3.58203
1547.6, -3.58228
1547.5, -3.58253
1547.4, -3.58278
1547.3, -3.58303
1547.21, -3.58328
1547.11, -3.58354
1547.01, -3.58379
1546.91, -3.58405
1546.81, -3.5843
1546.71, -3.58456
1546.61, -3.58481
1546.51, -3.58507
1546.41, -3.58532
1546.31, -3.58557
1546.21, -3.58583
1546.11, -3.58608
1546.01, -3.58634
1545.91, -3.58659
1545.81, -3.58685
1545.71, -3.5871
1545.61, -3.58735
1545.51, -3.58761
1545.41, -3.58786
1545.31, -3.58812
1545.21, -3.58838
1545.12, -3.58865
1545.02, -3.58891
1544.92, -3.58917
1544.82, -3.58943
1544.72, -3.5897
1544.62, -3.58996
1544.52, -3.59022
1544.42, -3.59048
1544.32, -3.59075
1544.22, -3.59101
1544.12, -3.59127
1544.02, -3.59153
1543.92, -3.5918
1543.82, -3.59206
1543.73, -3.59232
1543.63, -3.59258
1543.53, -3.59285
1543.43, -3.59311
1543.33, -3.59337
1543.23, -3.59364
1543.13, -3.59391
1543.03, -3.59418
1542.93, -3.59445
