["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(302, 3)
1.9104667090774803e+14 2.4240917851089939e-02 5.0723000432130121e+00
1.9108844800613153e+14 2.4497648259661924e-02 5.0979071438865118e+00
1.9113022510451506e+14 2.4748976184596583e-02 5.1234707142746494e+00
1.9117200220289856e+14 2.4994716667933365e-02 5.1489894039682351e+00
1.9121377930128206e+14 2.5234687616368739e-02 5.1744617496453156e+00
1.9125555639966556e+14 2.5468710052566457e-02 5.1998861759061921e+00
1.9129733349804906e+14 2.5696608369245057e-02 5.2252609958952121e+00
1.9133911059643256e+14 2.5918210585729018e-02 5.2505844117200873e+00
1.9138088769481606e+14 2.6133348606640305e-02 5.2758545146794136e+00
1.9142266479319956e+14 2.6341858482383768e-02 5.3010692853081629e+00
1.9146444189158306e+14 2.6543580671097369e-02 5.3262265932495421e+00
1.9150621898996656e+14 2.6738360301687657e-02 5.3513241969615795e+00
1.9154799608835006e+14 2.6926047437585063e-02 5.3763597432661410e+00
1.9158977318673356e+14 2.7106497340853072e-02 5.4013307667473072e+00
1.9163155028511706e+14 2.7279570736226676e-02 5.4262346890052040e+00
1.9167332738350056e+14 2.7445134074737060e-02 5.4510688177727769e+00
1.9171510448188406e+14 2.7603059796450433e-02 5.4758303458998867e+00
1.9175688158026756e+14 2.7753226591970021e-02 5.5005163502118126e+00
1.9179865867865106e+14 2.7895519662248139e-02 5.5251237902467576e+00
1.9184043577703456e+14 2.8029830976303859e-02 5.5496495068785539e+00
1.9188221287541806e+14 2.8156059526420543e-02 5.5740902208297909e+00
1.9192398997380156e+14 2.8274111580405041e-02 5.5984425310809591e+00
1.9196576707218506e+14 2.8383900930472404e-02 5.6227029131820068e+00
1.9200754417056856e+14 2.8485349138357551e-02 5.6468677174716175e+00
1.9204932126895206e+14 2.8578385776215687e-02 5.6709331672118068e+00
1.9209109836733556e+14 2.8662948662908923e-02 5.6948953566440519e+00
1.9213287546571906e+14 2.8738984095274263e-02 5.7187502489755939e+00
1.9217465256410256e+14 2.8806447073960881e-02 5.7424936743036872e+00
1.9221642966248606e+14 2.8865301523461034e-02 5.7661213274881398e+00
1.9225820676086956e+14 2.8915520505939953e-02 5.7896287659823056e+00
1.9229998385925306e+14 2.8957086428501349e-02 5.8130114076346677e+00
1.9234176095763656e+14 2.8989991243525248e-02 5.8362645284747199e+00
1.9238353805602006e+14 2.9014236641728572e-02 5.8593832604979932e+00
1.9242531515440356e+14 2.9029834237617100e-02 5.8823625894680180e+00
1.9246709225278706e+14 2.9036805747004495e-02 5.9051973527540760e+00
1.9250886935117056e+14 2.9035183156277952e-02 5.9278822372271120e+00
1.9255064644955406e+14 2.9025008883136888e-02 5.9504117772388394e+00
1.9259242354793756e+14 2.9006335928475655e-02 5.9727803527113021e+00
1.9263420064632106e+14 2.8979228019176143e-02 5.9949821873695903e+00
1.9267597774470456e+14 2.8943759741503542e-02 6.0170113471522058e+00
1.9271775484308806e+14 2.8900016664860230e-02 6.0388617388398709e+00
1.9275953194147156e+14 2.8848095455615733e-02 6.0605271089470509e+00
1.9280130903985506e+14 2.8788103980765117e-02 6.0820010429265761e+00
1.9284308613823856e+14 2.8720161401123472e-02 6.1032769647435154e+00
1.9288486323662206e+14 2.8644398253792655e-02 6.1243481368804042e+00
1.9292664033500556e+14 2.8560956523565457e-02 6.1452076608436004e+00
1.9296841743338906e+14 2.8469989702984953e-02 6.1658484782476579e+00
1.9301019453177256e+14 2.8371662840653879e-02 6.1862633725628280e+00
1.9305197163015606e+14 2.8266152577419365e-02 6.2064449716199253e+00
1.9309374872853956e+14 2.8153647169973327e-02 6.2263857509755951e+00
1.9313552582692306e+14 2.8034346501336030e-02 6.2460780382516736e+00
1.9317730292530656e+14 2.7908462077663232e-02 6.2655140185719000e+00
1.9321908002369006e+14 2.7776217010656606e-02 6.2846857412315558e+00
1.9326085712207356e+14 2.7637845984823519e-02 6.3035851277450377e+00
1.9330263422045706e+14 2.7493595208671805e-02 6.3222039814299098e+00
1.9334441131884056e+14 2.7343722348803216e-02 6.3405339986959834e+00
1.9338618841722406e+14 2.7188496445727944e-02 6.3585667822205849e+00
1.9342796551560756e+14 2.7028197810031164e-02 6.3762938562013520e+00
1.9346974261399106e+14 2.6863117897364470e-02 6.3937066838893166e+00
1.9351151971237456e+14 2.6693559160512231e-02 6.4107966876128577e+00
1.9355329681075806e+14 2.6519834876565677e-02 6.4275552715119675e+00
1.9359507390914156e+14 2.6342268947019288e-02 6.4439738472069932e+00
1.9359660086208747e+14 2.6335710407322764e-02 6.4445673952442384e+00
1.9363532405457916e+14 2.6167871471411253e-02 6.4594627319336224e+00
1.9363685100752506e+14 2.6161195409188293e-02 6.4600438552849893e+00
1.9367862810590856e+14 2.5976958679599378e-02 6.4757568093662679e+00
1.9372040520429209e+14 2.5789913283133480e-02 6.4911043365581387e+00
1.9376218230267559e+14 2.5600422991940548e-02 6.5060782015480525e+00
1.9380395940105909e+14 2.5408860702067382e-02 6.5206703566743043e+00
1.9384573649944259e+14 2.5215608010407307e-02 6.5348729897548230e+00
1.9388751359782609e+14 2.5021054741943702e-02 6.5486785762258659e+00
1.9392929069620959e+14 2.4825598423077608e-02 6.5620799356810648e+00
1.9397106779459309e+14 2.4629643696708177e-02 6.5750702928452371e+00
1.9401284489297659e+14 2.4433601674623696e-02 6.5876433429519174e+00
1.9405462199136009e+14 2.4237889222745931e-02 6.5997933214115658e+00
1.9409639908974359e+14 2.4042928174835661e-02 6.6115150775648068e+00
1.9413817618812709e+14 2.3849144470485743e-02 6.6228041522048500e+00
1.9417995328651059e+14 2.3656967213529074e-02 6.6336568584313946e+00
1.9422173038489409e+14 2.3466827647464907e-02 6.6440703652606565e+00
1.9426350748327759e+14 2.3279158045193198e-02 6.6540427832680598e+00
1.9430528458166109e+14 2.3094390511164367e-02 6.6635732513793231e+00
1.9434706168004459e+14 2.2912955695124183e-02 6.6726620237609469e+00
1.9438883877842809e+14 2.2735281417926842e-02 6.6813105555897554e+00
1.9443061587681159e+14 2.2561791211364420e-02 6.6895215863167055e+00
